Product: Daily Heating Degree Days Forecast Based on NDFD Data Issued 0000UTC 20150512
Regions: CPC::Regions::StatesCONUS
Weights: Population
Region|20150512|20150513|20150514|20150515|20150516|20150517|20150518|Total
AL|0|0|0|0|0|0|0|0
AR|1|1|0|0|0|0|0|2
AZ|0|1|1|2|3|2|1|10
CA|7|10|11|11|10|8|7|64
CO|14|12|11|11|15|15|15|93
CT|0|7|11|8|6|3|2|37
DE|0|1|5|2|0|0|0|8
FL|0|0|0|0|0|0|0|0
GA|0|0|0|0|0|0|0|0
IA|13|10|8|1|0|0|1|33
ID|9|13|11|9|11|11|10|74
IL|10|12|9|1|1|0|0|33
IN|7|11|7|0|0|0|0|25
KS|10|5|0|0|0|0|0|15
KY|0|5|2|0|0|0|0|7
LA|0|0|0|0|0|0|0|0
MA|0|7|12|7|6|5|3|40
MD|0|4|6|3|0|0|0|13
ME|8|12|14|11|9|9|7|70
MI|11|17|13|7|2|1|0|51
MN|20|18|12|9|5|2|10|76
MO|8|6|2|0|0|0|0|16
MS|0|0|0|0|0|0|0|0
MT|18|18|16|14|16|18|18|118
NC|0|0|1|0|0|0|0|1
ND|21|17|14|9|7|9|17|94
NE|13|5|3|1|0|1|4|27
NH|0|11|13|9|7|6|5|51
NJ|0|4|8|5|1|0|0|18
NM|7|7|4|6|10|9|6|49
NV|3|4|5|9|9|4|3|37
NY|0|9|12|8|4|1|1|35
OH|3|12|10|3|0|0|0|28
OK|5|4|0|0|0|0|0|9
OR|16|15|12|11|12|11|11|88
PA|0|9|11|6|1|0|0|27
RI|0|5|11|7|6|5|3|37
SC|0|0|0|0|0|0|0|0
SD|19|8|7|6|3|4|12|59
TN|0|1|0|0|0|0|0|1
TX|1|0|0|0|0|0|0|1
UT|8|10|10|14|18|16|14|90
VA|0|2|5|1|0|0|0|8
VT|0|13|15|9|7|3|1|48
WA|11|13|11|9|10|9|8|71
WI|16|19|15|8|6|1|1|66
WV|0|9|7|2|0|0|0|18
WY|18|13|12|13|17|19|20|112
