Product: Daily Heating Degree Days Forecast Based on NDFD Data Issued 0000UTC 20200202
Regions: CPC::Regions::StatesCONUS
Weights: Population
Region|20200202|20200203|20200204|20200205|20200206|20200207|20200208|Total
AL|15|10|4|1|9|19|15|73
AR|10|8|5|20|27|23|20|113
AZ|7|15|27|27|21|14|10|121
CA|13|24|25|21|16|12|13|124
CO|19|39|53|54|41|34|34|274
CT|29|24|26|26|29|25|29|188
DE|26|17|13|15|17|17|23|128
FL|8|7|2|0|0|2|4|23
GA|16|10|7|2|3|17|16|71
IA|27|36|42|47|45|40|41|278
ID|33|41|46|40|30|26|31|247
IL|24|28|30|36|37|38|37|230
IN|21|20|19|31|32|34|33|190
KS|12|19|36|41|37|29|27|201
KY|18|11|9|13|19|28|27|125
LA|10|5|0|2|14|14|8|53
MA|29|27|27|27|30|26|31|197
MD|25|16|13|15|18|20|24|131
ME|36|35|34|37|43|32|36|253
MI|27|29|33|38|36|37|35|235
MN|30|43|54|55|49|45|47|323
MO|15|17|25|35|37|32|31|192
MS|12|7|1|2|16|18|13|69
MT|38|46|49|41|32|31|35|272
NC|18|9|7|4|3|14|18|73
ND|34|49|56|49|41|43|47|319
NE|20|36|44|44|38|32|32|246
NH|34|32|32|33|38|30|35|234
NJ|28|20|19|20|24|21|27|159
NM|20|20|35|41|32|23|21|192
NV|14|30|33|30|20|15|16|158
NY|30|25|27|28|30|27|31|198
OH|24|21|18|29|27|33|32|184
OK|8|6|21|33|31|23|21|143
OR|30|32|32|24|19|19|23|179
PA|29|22|19|23|25|26|29|173
RI|28|25|24|25|28|23|29|182
SC|15|8|6|2|1|13|15|60
SD|26|42|49|46|39|36|38|276
TN|16|11|8|8|16|23|22|104
TX|7|3|3|18|21|12|7|71
UT|28|44|51|50|39|32|34|278
VA|21|11|10|9|11|18|22|102
VT|38|33|34|38|41|34|38|256
WA|29|30|32|24|19|20|23|177
WI|27|36|41|46|43|41|41|275
WV|22|14|13|14|14|26|27|130
WY|29|48|56|55|41|36|38|303
