Product: Daily Heating Degree Days Forecast Based on NDFD Data Issued 0000UTC 20140930
Regions: CPC::Regions::StatesCONUS
Weights: Population
Region|20140930|20141001|20141002|20141003|20141004|20141005|20141006|Total
AL|0|0|0|0|1|2|0|3
AR|0|0|0|1|2|1|0|4
AZ|0|0|0|0|0|0|0|0
CA|1|1|0|0|0|0|0|2
CO|12|15|17|15|9|9|8|85
CT|2|4|5|6|4|9|9|39
DE|0|0|0|0|2|7|5|14
FL|0|0|0|0|0|0|0|0
GA|0|0|0|0|0|1|0|1
IA|3|1|1|11|15|7|7|45
ID|13|17|15|11|8|7|6|77
IL|7|4|0|5|15|11|8|50
IN|3|3|0|1|13|12|8|40
KS|0|0|1|5|3|1|0|10
KY|0|0|0|0|9|8|3|20
LA|0|0|0|0|0|0|0|0
MA|6|6|6|7|6|10|10|51
MD|0|0|0|0|3|8|5|16
ME|13|10|9|11|9|10|13|75
MI|13|8|3|4|16|16|13|73
MN|14|6|6|17|20|14|15|92
MO|0|0|0|4|9|4|1|18
MS|0|0|0|0|1|0|0|1
MT|16|21|21|18|12|12|14|114
NC|0|0|0|0|1|5|2|8
ND|12|7|13|21|17|12|14|96
NE|0|1|6|11|9|4|3|34
NH|10|8|8|10|9|12|14|71
NJ|0|1|2|2|2|8|6|21
NM|3|4|6|6|3|2|2|26
NV|3|4|3|2|1|1|1|15
NY|1|2|3|4|5|10|8|33
OH|3|4|0|0|13|13|8|41
OK|0|0|0|0|0|0|0|0
OR|11|12|8|2|2|1|2|38
PA|1|1|2|2|7|12|9|34
RI|3|5|5|6|4|8|8|39
SC|0|0|0|0|0|2|0|2
SD|4|6|10|16|12|7|9|64
TN|0|0|0|0|5|4|1|10
TX|0|0|0|0|0|0|0|0
UT|15|20|19|12|8|7|6|87
VA|0|0|0|0|3|8|5|16
VT|6|6|7|7|10|16|15|67
WA|9|11|10|6|4|4|7|51
WI|15|10|3|11|19|15|14|87
WV|0|1|0|0|9|12|7|29
WY|14|20|21|17|12|12|12|108
