Product: Daily Cooling Degree Days Forecast Based on NDFD Data Issued 0000UTC 20190921
Regions: CPC::Regions::StatesCONUS
Weights: Population
Region|20190921|20190922|20190923|20190924|20190925|20190926|20190927|Total
AL|11|11|13|12|13|14|15|89
AR|12|13|11|10|12|12|12|82
AZ|12|13|12|10|11|11|9|78
CA|5|7|4|7|8|4|0|35
CO|0|0|0|0|0|0|0|0
CT|3|4|8|1|0|1|1|18
DE|5|10|12|6|4|8|8|53
FL|15|15|15|15|16|16|17|109
GA|8|9|10|13|12|14|15|81
IA|8|1|0|1|3|0|1|14
ID|0|0|0|0|0|0|0|0
IL|9|7|1|0|2|1|2|22
IN|11|11|3|0|2|4|4|35
KS|11|5|3|6|8|6|7|46
KY|11|10|8|3|5|9|9|55
LA|15|16|16|16|16|16|17|112
MA|2|3|7|1|0|0|0|13
MD|5|10|12|5|4|8|8|52
ME|0|0|3|0|0|0|0|3
MI|8|7|1|0|0|0|0|16
MN|6|0|0|0|0|0|0|6
MO|10|7|3|3|7|5|7|42
MS|12|13|14|14|15|15|15|98
MT|0|0|0|0|0|0|0|0
NC|4|7|9|9|8|12|13|62
ND|1|0|0|0|0|0|0|1
NE|10|0|1|4|3|0|1|19
NH|1|3|6|0|0|0|0|10
NJ|4|7|10|3|1|4|4|33
NM|4|4|4|2|2|2|2|20
NV|4|6|7|7|8|7|4|43
NY|3|6|7|2|0|1|2|21
OH|9|11|5|0|1|4|4|34
OK|12|11|8|10|12|10|12|75
OR|0|0|0|0|0|0|0|0
PA|4|8|7|1|0|3|3|26
RI|3|4|7|2|0|0|1|17
SC|7|9|11|12|13|14|15|81
SD|5|0|0|1|0|0|0|6
TN|10|10|10|6|8|11|11|66
TX|17|17|17|16|16|16|16|115
UT|0|0|0|0|0|0|0|0
VA|5|9|10|5|4|9|10|52
VT|0|2|4|0|0|0|0|6
WA|0|0|0|0|0|0|0|0
WI|6|3|0|0|0|0|0|9
WV|6|9|6|1|2|6|7|37
WY|0|0|0|0|0|0|0|0
