Product: Daily Cooling Degree Days Forecast Based on NDFD Data Issued 0000UTC 20190628
Regions: CPC::Regions::StatesCONUS
Weights: Population
Region|20190628|20190629|20190630|20190701|20190702|20190703|20190704|Total
AL|14|14|15|17|17|17|17|111
AR|14|13|14|15|15|15|14|100
AZ|21|24|25|25|22|21|20|158
CA|2|3|4|4|3|3|4|23
CO|6|6|5|2|2|1|1|23
CT|10|10|7|5|8|9|9|58
DE|15|17|16|10|15|15|16|104
FL|18|16|17|17|19|19|18|124
GA|14|14|15|17|18|18|17|113
IA|15|16|16|14|13|13|12|99
ID|0|1|3|3|2|2|3|14
IL|15|14|14|15|14|13|12|97
IN|13|13|14|14|14|13|12|93
KS|19|19|17|15|16|15|14|115
KY|13|13|13|14|14|14|13|94
LA|17|15|15|16|17|17|18|115
MA|9|8|5|3|6|7|7|45
MD|16|18|16|11|15|16|15|107
ME|2|0|0|0|1|2|2|7
MI|12|11|10|10|9|9|10|71
MN|9|13|15|9|7|9|7|69
MO|15|15|15|15|15|14|13|102
MS|14|14|15|17|17|17|17|111
MT|1|0|0|1|0|0|0|2
NC|14|15|17|16|16|17|16|111
ND|8|12|8|5|5|4|3|45
NE|17|17|16|14|13|13|11|101
NH|7|6|2|2|4|5|6|32
NJ|13|15|12|7|11|12|13|83
NM|11|11|11|10|9|9|10|71
NV|13|13|14|14|14|14|14|96
NY|9|10|6|5|8|8|9|55
OH|12|14|13|11|13|12|12|87
OK|18|18|16|15|15|15|14|111
OR|0|0|0|0|0|0|0|0
PA|12|13|10|7|10|10|11|73
RI|10|9|7|4|7|8|7|52
SC|15|15|17|19|19|20|19|124
SD|13|17|13|7|9|9|8|76
TN|12|13|14|15|15|15|15|99
TX|17|17|15|16|16|16|17|114
UT|6|4|5|5|5|4|4|33
VA|14|16|15|12|14|15|15|101
VT|7|5|0|1|4|5|7|29
WA|0|0|0|1|0|1|1|3
WI|11|11|13|11|8|9|9|72
WV|12|12|10|9|10|11|12|76
WY|4|4|2|1|2|1|1|15
