Product: Daily Heating Degree Days Forecast Based on NDFD Data Issued 0000UTC 20180124
Regions: CPC::Regions::StatesCONUS
Weights: Population
Region|20180124|20180125|20180126|20180127|20180128|20180129|20180130|Total
AL|22|21|18|12|11|21|20|125
AR|23|19|18|13|20|23|20|136
AZ|12|10|13|13|8|6|6|68
CA|13|18|18|13|9|8|10|89
CO|37|29|36|41|35|29|29|236
CT|30|41|42|30|22|27|37|229
DE|26|31|32|23|17|24|32|185
FL|5|8|5|1|1|4|6|30
GA|22|21|19|14|10|18|21|125
IA|37|30|24|31|40|41|31|234
ID|31|32|35|36|30|30|32|226
IL|36|30|22|22|34|37|33|214
IN|35|31|23|20|29|35|33|206
KS|28|19|17|25|29|28|20|166
KY|32|28|21|16|20|30|29|176
LA|17|16|12|5|8|15|15|88
MA|30|43|44|33|22|25|38|235
MD|26|31|29|22|16|25|32|181
ME|32|52|53|41|29|32|44|283
MI|40|39|29|24|33|40|39|244
MN|45|40|32|40|51|50|41|299
MO|29|21|18|20|30|32|25|175
MS|21|19|17|10|12|20|20|119
MT|36|35|42|44|37|33|39|266
NC|22|26|24|18|11|19|25|145
ND|45|40|38|49|57|49|44|322
NE|36|31|28|34|39|37|29|234
NH|36|51|50|36|26|30|44|273
NJ|29|36|37|26|20|26|35|209
NM|32|28|24|30|29|25|23|191
NV|21|21|24|22|17|16|16|137
NY|33|43|41|28|23|30|39|237
OH|36|34|25|20|24|35|36|210
OK|23|16|13|15|22|21|17|127
OR|23|28|29|24|20|22|27|173
PA|33|37|34|25|21|30|37|217
RI|28|41|42|30|21|24|37|223
SC|19|21|20|14|8|16|21|119
SD|37|33|31|38|44|39|33|255
TN|28|24|21|16|18|27|27|161
TX|17|15|9|6|13|14|13|87
UT|37|34|41|39|33|31|31|246
VA|25|29|26|20|14|24|29|167
VT|41|54|53|37|27|35|48|295
WA|23|27|27|26|20|20|26|169
WI|44|39|27|30|41|44|38|263
WV|33|33|25|21|19|31|32|194
WY|40|34|43|44|38|33|34|266
