Product: Daily Cooling Degree Days Forecast Based on NDFD Data Issued 0000UTC 20200714
Regions: CPC::Regions::StatesCONUS
Weights: Population
Region|20200714|20200715|20200716|20200717|20200718|20200719|20200720|Total
AL|17|18|19|18|18|18|17|125
AR|18|21|20|20|20|20|20|139
AZ|26|26|26|26|25|26|24|179
CA|6|6|7|8|9|9|8|53
CO|3|2|7|8|9|7|5|41
CT|8|6|6|7|11|12|14|64
DE|13|13|12|15|16|17|18|104
FL|20|19|19|18|18|18|19|131
GA|16|18|18|17|17|17|16|119
IA|11|7|8|13|18|18|14|89
ID|1|3|6|7|6|5|5|33
IL|10|13|12|14|17|20|18|104
IN|8|12|14|14|16|18|18|100
KS|18|14|16|20|23|22|20|133
KY|11|14|16|16|16|17|18|108
LA|21|20|20|19|19|19|19|137
MA|7|4|4|6|11|13|15|60
MD|12|13|14|17|16|17|18|107
ME|2|0|0|0|5|7|8|22
MI|6|11|11|11|13|17|16|85
MN|4|2|6|9|14|11|7|53
MO|16|16|16|18|20|21|20|127
MS|19|20|20|19|19|19|18|134
MT|0|0|2|3|1|0|0|6
NC|15|16|16|16|16|16|16|111
ND|1|3|5|10|9|4|2|34
NE|8|5|9|15|20|17|13|87
NH|5|2|2|3|9|10|12|43
NJ|11|10|9|12|14|15|17|88
NM|18|15|15|13|14|13|12|100
NV|21|19|21|21|21|20|19|142
NY|7|7|8|9|11|13|14|69
OH|7|11|14|14|14|16|17|93
OK|23|21|21|22|22|22|21|152
OR|0|3|3|1|0|4|7|18
PA|6|9|11|12|13|14|16|81
RI|8|5|4|6|11|13|14|61
SC|19|19|19|18|18|18|17|128
SD|3|3|7|13|16|11|7|60
TN|13|16|18|18|17|17|17|116
TX|23|22|22|21|20|20|21|149
UT|6|6|9|10|10|8|7|56
VA|12|13|15|16|16|16|17|105
VT|2|2|3|6|9|10|12|44
WA|0|1|2|1|1|2|4|11
WI|8|7|7|10|14|16|13|75
WV|8|11|15|14|14|14|15|91
WY|0|1|5|9|7|4|2|28
