Product: Daily Heating Degree Days Forecast Based on NDFD Data Issued 0000UTC 20170204
Regions: CPC::Regions::StatesCONUS
Weights: Population
Region|20170204|20170205|20170206|20170207|20170208|20170209|20170210|Total
AL|23|15|8|2|8|19|24|99
AR|30|16|6|2|19|24|25|122
AZ|9|8|8|8|7|3|2|45
CA|14|15|15|13|10|9|10|86
CO|28|27|25|29|29|26|22|186
CT|41|36|32|33|22|35|41|240
DE|36|31|25|19|11|30|37|189
FL|3|1|1|0|0|1|4|10
GA|24|18|10|5|7|18|23|105
IA|38|36|31|27|48|49|39|268
ID|31|30|30|39|36|33|30|229
IL|41|31|30|20|41|48|42|253
IN|42|29|26|14|34|44|41|230
KS|25|21|15|16|32|33|25|167
KY|37|24|18|7|23|35|34|178
LA|16|5|0|0|4|9|15|49
MA|41|37|34|35|24|35|43|249
MD|36|29|24|17|11|32|36|185
ME|51|44|41|50|39|39|52|316
MI|46|36|38|31|38|49|47|285
MN|47|48|46|43|61|63|49|357
MO|32|23|17|12|35|37|32|188
MS|22|11|3|0|8|17|21|82
MT|42|37|42|52|50|42|33|298
NC|30|24|17|8|6|22|30|137
ND|54|58|56|62|71|63|46|410
NE|28|31|23|28|43|41|30|224
NH|46|42|40|44|34|42|52|300
NJ|40|34|29|26|17|33|39|218
NM|19|18|17|17|17|16|15|119
NV|17|17|17|17|15|13|13|109
NY|41|36|34|33|23|38|43|248
OH|43|32|29|18|29|43|42|236
OK|25|14|3|6|24|23|18|113
OR|24|23|29|29|26|22|24|177
PA|43|35|30|24|20|39|42|233
RI|40|35|32|32|22|34|41|236
SC|24|19|12|5|3|15|23|101
SD|36|42|34|44|56|49|34|295
TN|30|19|14|5|17|30|31|146
TX|14|3|0|1|5|6|10|39
UT|29|29|27|32|28|27|25|197
VA|35|27|21|13|10|29|35|170
VT|48|42|44|46|31|45|55|311
WA|27|28|31|33|32|29|24|204
WI|48|39|43|33|49|58|50|320
WV|41|29|22|14|19|37|39|201
WY|36|33|32|40|39|34|29|243
