Product: Daily Cooling Degree Days Forecast Based on NDFD Data Issued 0000UTC 20160527
Regions: CPC::Regions::StatesCONUS
Weights: Population
Region|20160527|20160528|20160529|20160530|20160531|20160601|20160602|Total
AL|12|11|12|13|13|13|14|88
AR|9|10|11|9|9|9|8|65
AZ|7|10|10|10|12|14|14|77
CA|0|1|1|2|2|1|1|8
CO|0|0|0|0|0|0|0|0
CT|7|10|9|4|6|4|0|40
DE|12|10|10|7|8|7|5|59
FL|12|14|14|15|16|16|16|103
GA|10|9|10|11|12|13|12|77
IA|6|5|6|6|5|4|2|34
ID|0|0|0|0|0|1|3|4
IL|10|8|9|7|6|6|5|51
IN|11|10|9|8|7|7|6|58
KS|7|5|7|6|5|4|3|37
KY|11|9|9|9|8|8|8|62
LA|14|13|14|15|14|15|15|100
MA|5|10|6|3|6|3|0|33
MD|11|10|8|4|4|3|2|42
ME|0|2|0|0|2|0|0|4
MI|9|10|9|6|2|2|2|40
MN|2|1|1|2|1|0|0|7
MO|7|7|9|8|7|6|5|49
MS|13|12|13|15|15|15|14|97
MT|0|0|0|0|0|0|0|0
NC|10|8|8|8|8|9|9|60
ND|0|0|0|1|0|0|0|1
NE|3|1|3|4|3|1|1|16
NH|5|10|5|3|6|3|0|32
NJ|11|10|10|6|8|6|3|54
NM|0|1|3|3|3|2|2|14
NV|4|7|7|8|10|12|12|60
NY|8|10|8|5|5|3|1|40
OH|11|11|9|8|6|6|6|57
OK|9|10|10|6|6|7|6|54
OR|0|0|0|0|0|0|0|0
PA|10|11|10|7|8|6|5|57
RI|3|8|7|3|5|3|0|29
SC|11|8|10|10|11|12|13|75
SD|1|1|2|3|1|0|0|8
TN|10|9|10|10|10|10|10|69
TX|14|14|13|12|12|12|12|89
UT|0|0|0|0|0|0|1|1
VA|10|9|6|6|6|6|5|48
VT|7|10|7|5|4|2|0|35
WA|0|0|0|0|0|0|0|0
WI|6|6|5|3|2|1|0|23
WV|9|9|8|6|6|6|6|50
WY|0|0|0|0|0|0|0|0
