Product: Daily Cooling Degree Days Forecast Based on NDFD Data Issued 0000UTC 20170624
Regions: CPC::Regions::StatesCONUS
Weights: Population
Region|20170624|20170625|20170626|20170627|20170628|20170629|20170630|Total
AL|13|10|8|7|8|11|12|69
AR|10|7|7|8|10|12|14|68
AZ|29|29|28|26|25|23|23|183
CA|12|12|10|6|5|5|4|54
CO|0|0|1|4|4|3|1|13
CT|13|6|2|1|1|5|10|38
DE|15|11|6|4|5|9|13|63
FL|18|18|17|16|15|15|16|115
GA|13|12|8|7|8|11|12|71
IA|0|0|0|1|8|10|8|27
ID|3|6|9|5|1|1|3|28
IL|1|0|0|0|6|10|10|27
IN|2|0|0|0|4|9|10|25
KS|3|4|4|9|14|15|14|63
KY|8|2|0|0|4|9|10|33
LA|16|13|12|12|13|15|15|96
MA|12|5|1|1|1|6|10|36
MD|15|8|4|2|3|9|14|55
ME|6|2|0|0|0|0|3|11
MI|0|0|0|0|1|7|6|14
MN|0|0|0|0|4|4|1|9
MO|3|2|1|4|10|13|12|45
MS|14|11|9|9|10|12|13|78
MT|0|0|3|2|0|0|0|5
NC|15|12|8|6|5|8|11|65
ND|0|0|0|5|4|1|0|10
NE|0|0|1|7|14|12|8|42
NH|11|3|0|0|0|2|6|22
NJ|14|8|4|2|3|6|11|48
NM|10|8|8|10|12|12|12|72
NV|22|22|22|19|17|17|17|136
NY|11|4|2|2|2|5|8|34
OH|4|0|0|0|2|7|8|21
OK|7|7|9|11|15|17|17|83
OR|12|12|3|0|0|0|0|27
PA|9|4|1|0|1|5|8|28
RI|12|5|2|2|2|6|10|39
SC|17|15|11|9|9|11|13|85
SD|0|0|0|6|9|6|3|24
TN|10|5|3|2|5|9|11|45
TX|16|14|14|14|16|18|19|111
UT|4|5|8|6|5|3|4|35
VA|15|8|4|2|3|8|11|51
VT|8|0|0|0|0|1|5|14
WA|6|9|5|1|0|0|1|22
WI|0|0|0|0|3|7|4|14
WV|8|2|0|0|0|5|7|22
WY|0|0|0|3|1|0|0|4
