Product: Daily Heating Degree Days Forecast Based on NDFD Data Issued 0000UTC 20160318
Regions: CPC::Regions::StatesCONUS
Weights: Population
Region|20160318|20160319|20160320|20160321|20160322|20160323|20160324|Total
AL|6|6|17|18|12|4|1|64
AR|12|17|22|18|8|2|4|83
AZ|2|2|1|1|1|4|6|17
CA|4|5|6|9|12|12|9|57
CO|40|38|31|19|19|28|33|208
CT|19|32|34|32|32|23|14|186
DE|13|24|28|26|26|14|5|136
FL|0|0|1|5|4|0|0|10
GA|6|6|15|19|14|8|3|71
IA|28|29|30|27|16|18|24|172
ID|30|25|19|20|26|26|26|172
IL|25|28|28|29|18|14|20|162
IN|21|27|29|28|20|11|12|148
KS|27|27|26|16|5|7|19|127
KY|14|22|26|24|16|7|5|114
LA|0|3|12|13|6|0|0|34
MA|20|34|35|33|35|27|17|201
MD|13|26|29|28|27|14|6|143
ME|28|42|40|37|38|36|28|249
MI|29|34|34|34|31|21|23|206
MN|34|34|34|35|28|30|32|227
MO|22|25|26|22|9|6|15|125
MS|3|7|17|17|10|2|0|56
MT|41|36|27|23|29|33|32|221
NC|8|15|20|21|18|8|2|92
ND|36|36|35|33|30|34|34|238
NE|30|31|28|19|11|20|25|164
NH|24|41|39|37|38|33|22|234
NJ|16|28|32|28|29|19|9|161
NM|13|18|17|9|7|10|20|94
NV|6|5|4|5|10|13|14|57
NY|22|34|35|32|32|23|16|194
OH|22|30|31|31|26|13|12|165
OK|17|21|23|13|2|0|12|88
OR|17|16|16|19|21|20|19|128
PA|20|30|33|32|30|18|10|173
RI|18|32|34|32|33|25|16|190
SC|4|8|13|17|14|7|1|64
SD|35|35|32|24|19|29|30|204
TN|12|16|23|22|15|7|4|99
TX|2|9|12|9|0|0|2|34
UT|29|25|18|17|24|28|28|169
VA|11|23|26|26|23|11|4|124
VT|30|44|41|38|40|33|24|250
WA|20|18|16|17|19|20|20|130
WI|31|34|33|34|28|25|29|214
WV|17|27|29|30|25|11|7|146
WY|43|39|30|21|25|33|34|225
