Product: Daily Cooling Degree Days Forecast Based on NDFD Data Issued 0000UTC 20190715
Regions: CPC::Regions::StatesCONUS
Weights: Population
Region|20190715|20190716|20190717|20190718|20190719|20190720|20190721|Total
AL|15|16|16|17|18|18|17|117
AR|9|13|17|18|18|19|19|113
AZ|28|29|26|24|24|24|22|177
CA|10|8|6|5|5|4|4|42
CO|7|8|9|9|9|9|7|58
CT|8|10|14|13|16|17|15|93
DE|12|14|18|18|20|21|19|122
FL|19|19|19|18|18|18|19|130
GA|17|17|17|17|17|18|18|121
IA|16|14|16|19|19|18|14|116
ID|6|4|5|5|5|7|8|40
IL|15|13|15|19|20|18|17|117
IN|14|12|13|17|19|18|16|109
KS|13|16|22|23|23|22|20|139
KY|12|13|12|16|17|17|17|104
LA|14|17|18|18|18|18|19|122
MA|7|9|14|12|15|16|14|87
MD|12|15|18|18|20|21|19|123
ME|4|5|10|7|8|11|8|53
MI|10|13|12|14|17|15|12|93
MN|14|12|10|11|11|10|8|76
MO|10|12|17|20|20|20|19|118
MS|13|15|16|18|18|18|18|116
MT|2|1|1|1|1|1|2|9
NC|17|17|18|17|18|18|18|123
ND|12|7|7|7|6|6|5|50
NE|15|15|18|20|18|18|15|119
NH|5|7|13|10|13|14|11|73
NJ|9|12|16|16|18|20|17|108
NM|14|15|15|14|14|14|13|99
NV|20|19|18|18|18|18|17|128
NY|7|9|13|13|16|17|14|89
OH|11|13|12|15|18|17|15|101
OK|13|17|22|22|22|22|21|139
OR|1|0|0|1|0|0|0|2
PA|7|11|14|14|16|18|14|94
RI|8|9|14|12|15|17|15|90
SC|18|19|19|18|19|20|19|132
SD|16|12|12|13|12|11|10|86
TN|12|13|13|16|16|17|17|104
TX|18|21|21|21|21|21|20|143
UT|10|8|7|8|8|8|8|57
VA|14|15|17|16|18|20|18|118
VT|2|5|9|9|12|12|9|58
WA|1|1|1|0|0|0|1|4
WI|13|13|12|15|16|13|11|93
WV|11|12|12|12|15|16|14|92
WY|6|5|4|5|6|6|6|38
