Product: Daily Heating Degree Days Forecast Based on NDFD Data Issued 0000UTC 20170608
Regions: CPC::Regions::StatesCONUS
Weights: Population
Region|20170608|20170609|20170610|20170611|20170612|20170613|20170614|Total
AL|0|0|0|0|0|0|0|0
AR|0|0|0|0|0|0|0|0
AZ|0|0|0|0|0|0|0|0
CA|2|2|5|6|5|1|0|21
CO|0|0|0|1|1|8|6|16
CT|4|5|0|0|0|0|0|9
DE|3|0|0|0|0|0|0|3
FL|0|0|0|0|0|0|0|0
GA|0|0|0|0|0|0|0|0
IA|0|0|0|0|0|0|0|0
ID|0|6|11|15|15|11|8|66
IL|0|0|0|0|0|0|0|0
IN|2|0|0|0|0|0|0|2
KS|0|0|0|0|0|0|0|0
KY|2|0|0|0|0|0|0|2
LA|0|0|0|0|0|0|0|0
MA|5|6|0|0|0|0|0|11
MD|3|0|0|0|0|0|0|3
ME|3|9|4|0|0|0|1|17
MI|2|0|0|0|0|0|0|2
MN|0|0|0|0|0|0|0|0
MO|0|0|0|0|0|0|0|0
MS|0|0|0|0|0|0|0|0
MT|0|6|11|13|14|14|12|70
NC|1|0|0|0|0|0|0|1
ND|0|0|0|0|0|1|3|4
NE|0|0|0|0|0|0|0|0
NH|1|6|0|0|0|0|0|7
NJ|4|1|0|0|0|0|0|5
NM|0|0|0|0|0|1|1|2
NV|0|2|2|4|4|2|1|15
NY|4|2|0|0|0|0|0|6
OH|3|1|0|0|0|0|0|4
OK|0|0|0|0|0|0|0|0
OR|7|13|14|14|12|11|10|81
PA|4|1|0|0|0|0|0|5
RI|6|6|0|0|0|0|0|12
SC|0|0|0|0|0|0|0|0
SD|0|0|0|0|0|1|1|2
TN|0|0|0|0|0|0|0|0
TX|0|0|0|0|0|0|0|0
UT|1|1|3|6|13|14|7|45
VA|3|0|0|0|0|0|0|3
VT|1|4|2|0|0|0|0|7
WA|5|11|11|10|10|9|9|65
WI|0|0|0|0|0|0|0|0
WV|4|1|0|0|0|0|0|5
WY|1|1|2|4|7|14|10|39
