Product: Daily Heating Degree Days Forecast Based on NDFD Data Issued 0000UTC 20160208
Regions: CPC::Regions::StatesCONUS
Weights: Population
Region|20160208|20160209|20160210|20160211|20160212|20160213|20160214|Total
AL|23|32|31|29|22|20|24|181
AR|26|30|31|26|23|24|25|185
AZ|7|6|4|4|4|3|4|32
CA|4|4|4|6|7|8|8|41
CO|37|31|27|27|27|26|29|204
CT|37|39|35|38|46|48|55|298
DE|28|30|31|38|41|41|48|257
FL|13|11|14|15|11|5|8|77
GA|22|31|33|29|22|21|27|185
IA|45|53|58|54|48|50|45|353
ID|33|33|33|30|28|29|30|216
IL|37|45|53|52|46|47|44|324
IN|32|41|50|49|46|46|45|309
KS|32|32|33|32|28|29|26|212
KY|28|40|46|45|40|39|40|278
LA|17|22|18|15|7|9|11|99
MA|38|40|37|39|48|50|56|308
MD|29|31|34|40|42|42|48|266
ME|49|44|41|43|55|59|60|351
MI|31|37|46|50|49|53|53|319
MN|52|60|66|62|58|59|52|409
MO|36|42|46|41|36|36|34|271
MS|21|28|27|24|16|17|19|152
MT|32|28|27|28|28|29|31|203
NC|25|30|35|38|34|31|37|230
ND|45|50|53|51|51|50|43|343
NE|37|39|40|40|36|38|35|265
NH|46|44|40|43|54|58|59|344
NJ|32|35|32|38|43|44|51|275
NM|26|23|19|18|18|16|15|135
NV|17|16|15|14|13|13|15|103
NY|34|36|34|40|46|50|54|294
OH|29|37|44|49|48|50|51|308
OK|25|24|24|19|20|20|19|151
OR|15|16|17|17|18|21|21|125
PA|31|35|37|44|48|49|54|298
RI|35|40|36|38|47|48|54|298
SC|21|28|30|33|27|23|29|191
SD|40|41|44|41|40|42|38|286
TN|27|38|42|40|33|32|34|246
TX|17|16|11|6|5|6|6|67
UT|39|38|37|36|34|34|33|251
VA|27|31|35|40|38|38|44|253
VT|41|42|39|45|56|62|64|349
WA|19|19|19|18|19|21|22|137
WI|39|49|57|58|55|56|52|366
WV|30|37|43|47|46|47|51|301
WY|38|32|31|31|30|30|33|225
