Product: Daily Heating Degree Days Forecast Based on NDFD Data Issued 0000UTC 20150425
Regions: CPC::Regions::StatesCONUS
Weights: Population
Region|20150425|20150426|20150427|20150428|20150429|20150430|20150501|Total
AL|0|0|2|4|3|3|1|13
AR|0|1|4|9|7|4|1|26
AZ|2|4|2|1|0|0|0|9
CA|11|8|1|1|1|2|3|27
CO|16|21|23|19|14|10|7|110
CT|22|17|17|14|12|12|13|107
DE|20|13|13|10|9|9|9|83
FL|0|0|0|0|0|0|0|0
GA|1|0|2|5|5|4|2|19
IA|17|17|14|11|9|8|5|81
ID|21|19|15|9|7|8|10|89
IL|16|18|18|14|10|10|9|95
IN|15|16|17|14|10|10|9|91
KS|2|11|12|11|7|5|1|49
KY|5|8|13|12|9|7|6|60
LA|0|0|0|1|2|0|0|3
MA|22|19|18|16|14|12|14|115
MD|19|15|15|11|9|9|9|87
ME|23|21|20|19|17|16|17|133
MI|23|21|21|17|14|14|15|125
MN|20|20|16|13|12|11|9|101
MO|4|11|12|11|8|6|3|55
MS|0|0|1|4|4|2|0|11
MT|23|23|19|13|10|9|11|108
NC|13|6|10|9|8|6|4|56
ND|17|16|14|13|11|8|8|87
NE|10|14|14|10|9|6|2|65
NH|24|21|20|17|16|14|15|127
NJ|21|15|15|12|11|11|11|96
NM|10|12|14|13|9|4|2|64
NV|10|10|4|2|2|2|3|33
NY|23|18|17|14|12|12|15|111
OH|21|17|19|16|13|11|9|106
OK|0|1|6|9|6|3|0|25
OR|19|17|7|8|14|13|15|93
PA|24|17|18|15|13|13|12|112
RI|21|18|17|16|14|12|14|112
SC|5|0|3|5|5|3|1|22
SD|13|15|14|11|10|7|2|72
TN|2|2|9|9|8|6|4|40
TX|0|0|1|3|2|0|0|6
UT|19|22|19|14|9|6|5|94
VA|19|14|13|11|10|9|8|84
VT|27|23|22|17|14|14|18|135
WA|19|17|8|6|11|12|14|87
WI|23|22|20|16|13|14|12|120
WV|19|14|18|14|12|10|11|98
WY|19|24|22|18|12|10|9|114
