Product: Daily Heating Degree Days Forecast Based on NDFD Data Issued 0000UTC 20190311
Regions: CPC::Regions::StatesCONUS
Weights: Population
Region|20190311|20190312|20190313|20190314|20190315|20190316|20190317|Total
AL|7|6|2|0|6|16|17|54
AR|15|14|5|7|20|22|20|103
AZ|9|13|13|16|12|8|6|77
CA|18|16|17|16|14|11|9|101
CO|33|26|31|40|41|37|34|242
CT|23|31|33|27|17|22|30|183
DE|16|26|26|19|9|17|25|138
FL|0|0|0|0|0|1|2|3
GA|5|6|7|3|3|14|15|53
IA|39|35|21|22|33|37|36|223
ID|36|34|33|35|32|29|26|225
IL|32|30|17|9|27|33|33|181
IN|28|29|17|5|23|31|31|164
KS|26|18|10|25|29|28|25|161
KY|20|22|11|1|17|26|28|125
LA|2|1|0|0|8|12|12|35
MA|25|32|34|27|17|21|31|187
MD|17|26|24|15|6|18|27|133
ME|28|36|38|31|23|24|35|215
MI|34|36|28|13|26|36|39|212
MN|47|39|27|28|38|44|43|266
MO|25|23|10|15|27|29|27|156
MS|6|4|0|0|11|16|16|53
MT|44|39|40|42|40|38|36|279
NC|7|16|18|9|2|12|19|83
ND|52|39|39|37|44|45|44|300
NE|36|27|20|29|35|35|34|216
NH|28|35|37|29|19|24|33|205
NJ|21|29|29|22|13|20|28|162
NM|16|16|24|29|29|25|23|162
NV|20|18|22|23|20|16|13|132
NY|25|32|32|24|16|25|33|187
OH|28|32|22|7|17|30|33|169
OK|20|14|6|18|24|23|20|125
OR|26|26|26|26|24|21|19|168
PA|25|32|28|20|12|24|31|172
RI|24|30|32|26|17|20|30|179
SC|3|9|11|3|0|9|14|49
SD|43|33|33|34|40|41|40|264
TN|15|17|8|2|14|23|23|102
TX|6|2|2|6|15|15|14|60
UT|33|31|38|38|36|32|29|237
VA|13|23|23|13|5|16|24|117
VT|32|39|38|27|18|28|39|221
WA|29|26|26|26|23|21|20|171
WI|41|39|25|17|31|39|39|231
WV|22|28|21|9|8|24|30|142
WY|39|34|40|43|44|41|39|280
