Product: Daily Cooling Degree Days Forecast Based on NDFD Data Issued 0000UTC 20190814
Regions: CPC::Regions::StatesCONUS
Weights: Population
Region|20190814|20190815|20190816|20190817|20190818|20190819|20190820|Total
AL|19|16|16|17|17|16|15|116
AR|17|14|16|17|16|16|16|112
AZ|27|27|26|24|23|25|27|179
CA|13|13|11|7|6|7|10|67
CO|3|5|5|4|5|6|6|34
CT|9|5|6|7|9|11|10|57
DE|13|11|13|15|17|17|15|101
FL|19|18|18|18|18|18|18|127
GA|19|16|15|16|16|16|14|112
IA|3|2|6|9|9|9|9|47
ID|6|5|3|4|5|6|6|35
IL|6|5|6|10|12|11|10|60
IN|8|6|5|11|13|11|10|64
KS|11|11|15|15|15|15|15|97
KY|13|10|10|14|15|14|13|89
LA|20|19|19|19|19|18|18|132
MA|6|3|4|5|8|11|9|46
MD|13|12|12|15|17|16|15|100
ME|0|0|0|0|2|6|5|13
MI|4|2|2|7|10|8|7|40
MN|0|0|2|4|3|4|6|19
MO|10|9|12|14|14|14|13|86
MS|19|17|17|18|17|17|16|121
MT|0|0|0|0|1|2|2|5
NC|17|15|15|16|16|15|14|108
ND|0|0|1|1|1|5|5|13
NE|4|5|7|9|9|11|11|56
NH|3|0|2|2|5|8|7|27
NJ|10|8|9|11|13|14|12|77
NM|11|12|12|12|13|13|14|87
NV|20|22|22|19|17|17|18|135
NY|7|4|6|7|10|10|9|53
OH|8|6|7|10|13|12|11|67
OK|16|16|18|19|19|19|18|125
OR|5|2|0|2|1|3|3|16
PA|8|6|8|10|12|13|11|68
RI|8|5|5|7|9|11|10|55
SC|21|17|17|17|17|16|15|120
SD|0|1|4|4|5|8|8|30
TN|14|12|13|15|15|14|13|96
TX|22|21|21|22|23|22|22|153
UT|6|8|7|6|6|7|7|47
VA|14|12|12|14|15|14|13|94
VT|1|0|1|2|6|7|5|22
WA|2|2|1|2|1|1|3|12
WI|1|1|2|6|8|7|7|32
WV|10|9|9|11|13|12|11|75
WY|1|1|1|1|3|4|4|15
