Product: Daily Cooling Degree Days Forecast Based on NDFD Data Issued 0000UTC 20190722
Regions: CPC::Regions::StatesCONUS
Weights: Population
Region|20190722|20190723|20190724|20190725|20190726|20190727|20190728|Total
AL|15|12|9|10|12|12|13|83
AR|15|8|7|9|10|13|14|76
AZ|25|25|25|25|26|27|25|178
CA|9|11|12|11|11|11|10|75
CO|1|2|5|5|5|5|5|28
CT|11|6|5|7|9|10|11|59
DE|20|10|9|9|11|12|13|84
FL|18|18|17|17|17|18|18|123
GA|15|13|9|10|11|12|13|83
IA|4|3|5|7|10|11|13|53
ID|12|14|8|7|9|8|7|65
IL|6|4|7|8|11|13|14|63
IN|7|3|5|7|9|11|12|54
KS|9|5|6|10|12|14|17|73
KY|10|4|4|6|9|11|12|56
LA|16|14|12|12|14|15|16|99
MA|11|4|4|6|7|9|10|51
MD|17|9|8|9|11|12|13|79
ME|5|1|1|1|3|5|6|22
MI|4|1|4|6|9|11|11|46
MN|1|4|6|6|9|9|9|44
MO|9|4|6|8|10|12|14|63
MS|15|12|9|10|12|13|14|85
MT|2|7|5|2|2|3|2|23
NC|18|11|8|9|10|11|13|80
ND|1|5|8|10|7|8|8|47
NE|3|2|5|9|12|12|14|57
NH|6|2|1|2|5|7|8|31
NJ|15|9|7|8|10|11|11|71
NM|10|7|9|11|10|10|11|68
NV|21|21|20|21|21|22|22|148
NY|8|6|5|6|9|10|11|55
OH|7|3|3|5|8|10|11|47
OK|15|10|8|10|12|15|17|87
OR|4|2|0|2|3|2|1|14
PA|10|5|4|5|7|9|9|49
RI|12|5|6|7|8|9|10|57
SC|18|15|10|10|12|13|14|92
SD|1|3|8|11|12|11|12|58
TN|12|7|5|7|10|11|11|63
TX|20|16|14|13|15|17|18|113
UT|11|13|11|8|8|9|9|69
VA|17|8|6|7|9|11|12|70
VT|1|1|0|1|4|7|8|22
WA|4|3|1|1|3|1|1|14
WI|2|3|6|7|9|11|11|49
WV|9|4|2|4|7|9|10|45
WY|1|6|7|5|4|5|4|32
