Product: Daily Cooling Degree Days Forecast Based on NDFD Data Issued 0000UTC 20170607
Regions: CPC::Regions::StatesCONUS
Weights: Population
Region|20170607|20170608|20170609|20170610|20170611|20170612|20170613|Total
AL|8|5|6|10|12|13|13|67
AR|6|4|5|9|11|13|14|62
AZ|21|20|20|18|16|15|15|125
CA|1|1|1|0|0|0|1|4
CO|0|1|3|4|3|1|0|12
CT|0|0|0|2|8|13|13|36
DE|0|0|1|8|12|15|15|51
FL|15|15|15|15|15|16|16|107
GA|7|5|7|10|12|12|12|65
IA|3|4|7|14|16|13|10|67
ID|7|4|0|0|0|0|0|11
IL|0|0|4|10|14|14|14|56
IN|0|0|3|8|12|14|13|50
KS|4|4|8|14|16|15|14|75
KY|0|0|2|7|10|13|13|45
LA|13|9|10|12|13|15|15|87
MA|0|0|0|1|6|11|12|30
MD|0|0|1|6|11|15|15|48
ME|0|0|0|0|1|3|5|9
MI|0|0|1|4|11|12|11|39
MN|2|2|2|9|12|8|4|39
MO|1|2|6|11|14|14|14|62
MS|9|6|7|10|12|13|14|71
MT|0|3|3|0|0|0|0|6
NC|4|1|3|8|11|13|14|54
ND|1|2|6|12|5|1|1|28
NE|5|7|9|15|16|13|10|75
NH|0|0|0|0|4|9|10|23
NJ|0|0|0|5|10|14|14|43
NM|8|8|9|11|9|7|6|58
NV|15|13|12|10|7|5|7|69
NY|0|0|0|2|8|12|12|34
OH|0|0|1|6|10|13|13|43
OK|6|5|8|13|14|16|15|77
OR|0|0|0|0|0|0|0|0
PA|0|0|0|3|8|12|12|35
RI|0|0|0|0|5|10|11|26
SC|7|4|7|10|12|14|14|68
SD|5|6|9|15|12|7|5|59
TN|2|1|3|7|11|12|12|48
TX|14|12|13|14|16|17|18|104
UT|7|6|5|1|0|0|0|19
VA|0|0|2|6|11|13|14|46
VT|0|0|0|0|2|9|11|22
WA|1|0|0|0|0|0|0|1
WI|0|0|1|6|13|11|9|40
WV|0|0|0|3|8|11|11|33
WY|0|2|4|2|0|0|0|8
